reference_predicted_price,item_name,item_wear,item_is_stattrak,item_rarity,item_quality,item_float_value,item_paint_index
61715,★ Butterfly Knife | Freehand (Minimal Wear),Minimal Wear,False,6,3,0.13952137529850006,581
17338,★ StatTrak™ Nomad Knife,Minimal Wear,True,6,3,0.12286335229873657,0
95877,★ StatTrak™ Talon Knife | Fade (Factory New),Factory New,True,6,3,0.04382598400115967,38
20541,★ Skeleton Knife | Damascus Steel (Field-Tested),Field-Tested,False,6,3,0.15445461869239807,410
27017,★ Flip Knife | Marble Fade (Factory New),Factory New,False,6,3,0.006651274859905243,413
105880,★ StatTrak™ Karambit,Field-Tested,True,6,3,0.3731885552406311,0
29860,★ Bowie Knife | Doppler (Factory New),Factory New,False,6,3,0.007720986381173134,420
23679,★ Bowie Knife | Gamma Doppler (Factory New),Factory New,False,6,3,0.016741370782256126,570
108940,★ M9 Bayonet | Doppler (Factory New),Factory New,False,6,3,0.03478708490729332,418
13040,★ Skeleton Knife | Scorched (Field-Tested),Field-Tested,False,6,3,0.2988957166671753,175
41652,★ StatTrak™ Bayonet | Tiger Tooth (Minimal Wear),Minimal Wear,True,6,3,0.0786600261926651,409
39931,★ Bayonet | Doppler (Factory New),Factory New,False,6,3,0.04251513257622719,420
71617,★ Butterfly Knife | Lore (Field-Tested),Field-Tested,False,6,3,0.23340943455696106,1105
71263,★ Butterfly Knife | Crimson Web (Field-Tested),Field-Tested,False,6,3,0.23070675134658813,12
11677,★ Gut Knife | Autotronic (Minimal Wear),Minimal Wear,False,6,3,0.11308961361646652,575
278042,★ Skeleton Knife | Doppler (Factory New),Factory New,False,6,3,0.03510161489248276,417
16480,★ Nomad Knife | Crimson Web (Field-Tested),Field-Tested,False,6,3,0.29287290573120117,12
23743,★ Nomad Knife | Slaughter (Minimal Wear),Minimal Wear,False,6,3,0.11075242608785629,59
262612,★ Karambit | Doppler (Factory New),Factory New,False,6,3,0.026086829602718353,419
6882,★ Gut Knife | Bright Water (Well-Worn),Well-Worn,False,6,3,0.44105294346809387,578
40171,★ StatTrak™ Skeleton Knife | Slaughter (Minimal Wear),Minimal Wear,True,6,3,0.11072162538766861,59
88571,★ Karambit | Autotronic (Field-Tested),Field-Tested,False,6,3,0.2901994287967682,576
8759,★ Gut Knife | Freehand (Factory New),Factory New,False,6,3,0.007767305243760347,580
8170,★ StatTrak™ Huntsman Knife | Freehand (Field-Tested),Field-Tested,True,6,3,0.17087456583976746,581
29529,★ Skeleton Knife,Field-Tested,False,6,3,0.37766537070274353,0
28921,★ Flip Knife | Marble Fade (Factory New),Factory New,False,6,3,0.04328717663884163,413
42278,★ Butterfly Knife | Boreal Forest (Well-Worn),Well-Worn,False,6,3,0.40055182576179504,77
27392,★ Bayonet | Autotronic (Field-Tested),Field-Tested,False,6,3,0.18155580759048462,573
21769,★ Bowie Knife | Gamma Doppler (Factory New),Factory New,False,6,3,0.03427457436919212,569
121078,★ M9 Bayonet | Doppler (Factory New),Factory New,False,6,3,0.03413953259587288,421
5375,★ Survival Knife | Rust Coat (Battle-Scarred),Battle-Scarred,False,6,3,0.6076564788818359,414
43214,★ Stiletto Knife | Doppler (Factory New),Factory New,False,6,3,0.0325888954102993,420
5387,★ Survival Knife | Rust Coat (Battle-Scarred),Battle-Scarred,False,6,3,0.5524670481681824,414
11148,★ Skeleton Knife | Boreal Forest (Battle-Scarred),Battle-Scarred,False,6,3,0.7843852043151855,77
31392,★ Talon Knife | Stained (Minimal Wear),Minimal Wear,False,6,3,0.08837094157934189,43
